,artistName,artistCountry
801,Wall Hein,BR
802,Nagalli,BR
803,Dj GM,BR
804,AgroPlay,BR
805,Brenno & Matheus,BR
806,DENNIS,BR
807,Todah Music,BR
808,Eduardo Costa,BR
809,Maneva,BR
810,Dj Yuri Pedrada,BR
811,fhop music,BR
812,Caio Luccas,BR
813,TrapLaudo,BR
814,Mc Poze do Rodo,BR
815,João Gomes,BR
816,Pedro Lotto,BR
817,Nilo,BR
818,Humberto & Ronaldo,BR
819,Duckjay,BR
820,DJ BOY,BR
821,Kizzy,BR
822,Djavan,BR
823,MORADA,BR
824,Gloria Groove,BR
825,Mãolee,BR
826,DJ TOPO,BR
827,Natiruts,BR
828,Kamisa 10,BR
829,Borges,BR
830,Salve Malak,BR
831,MC Leozinho ZS,BR
832,Vintage Culture,BR
833,O Rappa,BR
834,DJ Di Marques,BR
835,Os Barões Da Pisadinha,BR
836,Coyote Beatz,BR
837,MC Paulin da Capital,BR
838,Chitãozinho & Xororó,BR
839,Dj LK da Escócia,BR
840,Mc Daniel,BR
841,pumapjl,BR
842,Major RD,BR
843,Victor WAO,BR
844,Poshlaya Molly,UA
845,Max Korzh,BY
846,madk1d,BY
847,V,KR
848,Noize MC,RU
849,PHARAOH,RU
850,Korol i Shut,RU
851,Egor Kreed,RU
852,LSP,BY
853,МОТ,RU
854,OG Buda,RU
855,FORTUNA 812,RU
856,Nervy,RU
857,MACAN,RU
858,Park Hyo Shin,KR
859,Basta,RU
860,Kai Angel,RU
861,Три дня дождя,RU
862,Alyona Shvets,RU
863,T-Fest,RU
864,Kino,RU
865,Lida,RU
866,BUSHIDO ZHO,RU
867,ANNA ASTI,RU
868,Женя Трофимов,RU
869,LOVV66,RU
870,SEREBRO,RU
871,Xolidayboy,RU
872,OBLADAET,RU
873,CMH,RU
874,Платина,RU
875,MAYOT,RU
876,nkeeei,RU
877,ATL,RU
878,ooes,RU
879,Baby Melo,RU
880,ROCKET,RU
881,Pika,BR
882,uniqe,RU
883,ARTEM SHILOVETS,RU
884,MiyaGi,RU
885,DEAD BLONDE,RU
886,SALUKI,RU
887,zhanulka,RU
888,Pepel Nahudi,RU
889,Miyagi & Andy Panda,RU
890,Папин Олимпос,RU
891,Sektor Gaza,RU
892,Whole Lotta Swag,RU
893,LOBODA,UA
894,GUF,RU
895,[Би-2],RU
896,ALBLAK 52,RU
897,Boulevard Depo,RU
898,NILETTO,RU
899,JONY,AZ
900,Artik & Asti,RU
901,mzlff,RU
902,KSB muzic,RU
903,Комната культуры,RU
904,IVOXYGEN,US
905,2rbina 2rista,RU
906,shadowraze,RU
907,ЩЕНКИ,RU
908,Electroforez,RU
909,Oxxxymiron,RU
910,Mindless Self Indulgence,US
911,xxxmanera,RU
912,GSPD,RU
913,Splean,RU
914,Slava KPSS,RU
915,uglystephan,RU
916,5sta Family,RU
917,Moya Mishel,RU
918,УННВ,RU
919,Мэйби Бэйби,RU
920,SQWOZ BAB,RU
921,Valery Meladze,RU
922,Markul,RU
923,Quest Pistols,UA
924,10AGE,RU
925,Mari Kraimbrery,RU
926,Ruki Vverh!,RU
927,Baby Cute,RU
928,KRISTIEE,RU
929,SODA LUV,RU
930,MONA,RU
931,Какая Разница,RU
932,Вектор А,RU
933,лампабикт,RU
934,f0lk,RU
935,Zivert,RU
936,VESNA305,RU
937,Heronwater,RU
938,кис-кис,RU
939,INSTASAMKA,RU
940,Pornofilmy,RU
941,tewiq,RU
942,NEWLIGHTCHILD,RU
943,MATRANG,RU
944,Cold Carti,RU
945,Jah Khalib,KZ
946,Молодой Платон,RU
947,2hug,RU
948,Джизус,RU
949,dope17,RU
950,Mikhail Krug,RU
951,Riley Green,US
952,NAV,CA
953,Kane Brown,US
954,Kodak Black,US
955,The Lumineers,US
956,The Tragically Hip,CA
957,Bailey Zimmerman,US
958,Luke Bryan,US
959,Tyler Childers,US
960,Warren Zeiders,US
961,Thomas Rhett,US
962,Lainey Wilson,US
963,Polo G,US
964,Trippie Redd,US
965,Wiz Khalifa,US
966,Megan Moroney,US
967,Laufey,IS
968,A Boogie Wit da Hoodie,US
969,Treaty Oak Revival,US
970,Jason Aldean,US
971,Sexyy Red,US
972,NLE Choppa,US
973,Jon Pardi,US
974,GloRilla,US
975,Led Zeppelin,GB
976,Patent Ochsner,CH
977,Alan Walker,NO
978,Sfera Ebbasta,IT
979,Artie 5ive,IT
980,Dafina Zeqiri,XK
981,Stubete Gäng,CH
982,Gölä,CH
983,Geolier,IT
984,Baby Gang,IT
985,Guè,IT
986,Yll Limani,XK
987,Julianno Sosa,CL
988,Swift 047,BR
989,Young Cister,CL
990,DrefQuila,CL
991,Resonancia Etérea,AR
992,Easykid,CL
993,Mateo on the Beatz,BR
994,Los Bunkers,CL
995,Gino Mella,CL
996,King Savagge,CL
997,Ak4:20,CL
998,Tobal Mj,CL
999,ITHAN NY,CL
1000,Harry Nach,CL
1001,Nickoog Clk,CL
1002,Santaferia,CL
1003,Arte Elegante,CL
1004,Bryartz,CL
1005,Nacho G Flow,CL
1006,Piero 47,CL
1007,Grupo Zúmbale Primo,CL
1008,Dysbit,CL
1009,El Jordan 23,CL
1010,Omega,DO
1011,Pailita,CL
1012,Los Prisioneros,CL
1013,Movimiento Original,CL
1014,Galee Galee,CL
1015,La Sonora De Tommy Rey,CL
1016,Fran C,CL
1017,iZaak,PR
1018,El BAI,CL
1019,Beny Jr,ES
1020,Peregrinos del Amor,CL
1021,Big Cvyu,CL
1022,Marcianeke,CL
1023,Martinwhite,CL
1024,AKRIILA,CL
1025,Los Tres,CL
1026,LOS 4F,CL
1027,Bayriton,CL
1028,Polimá Westcoast,CL
1029,Macha Y El Bloque Depresivo,CL
1030,Darell,PR
1031,Darkiel,PR
1032,"Tito ""El Bambino""",PR
1033,Guns N' Roses,US
1034,Melendi,ES
1035,Carlos Vives,CO
1036,Valdi,CL
1037,Casper Magico,PR
1038,Lunay,PR
1039,Los Vasquez,CL
1040,Kris R.,PR
1041,Binomio de Oro de América,CO
1042,Diomedes Diaz,CO
1043,Silvestre Dangond,CO
1044,Pirlo,CO
1045,Los Diablitos,CO
1046,Luis Alfonso,CO
1047,Yeison Jimenez,CO
1048,Alcolirykoz,CO
1049,Grupo Niche,CO
1050,Fonseca,CO
1051,ROA,CO
1052,Juan Duque,CO
1053,Luister La Voz,CO
1054,Kenny Die,CO
1055,Luigi 21 Plus,PR
1056,Andrés Cepeda,CO
1057,Los inquietos del vallenato,CO
1058,Vicente Fernández,MX
1059,Ñejo,PR
1060,Willie Colón,US
1061,Doble Porcion,CO
1062,Jesús Adrián Romero,MX
1063,Kany García,PR
1064,Adolescent's Orquesta,VE
1065,Penyair,CO
1066,SOG,CO
1067,Darío Gómez,CO
1068,Ele A El Dominio,PR
1069,Métricas Frías,CO
1070,Miguel Bueno,CO
1071,Frankie Ruiz,US
1072,Jon Z,PR
1073,Jessi Uribe,CO
1074,Jamby El Favo,PR
1075,Juancho De La Espriella,CO
1076,Maelo Ruiz,US
1077,Grupo Firme,MX
1078,Manuel Medrano,CO
1079,Mañas Ru-Fino,CO
1080,Juancho Rois,CO
1081,Luis Alberto Posada,CO
1082,Rawayana,VE
1083,TURY,CO
1084,Zion,PR
1085,Eddie Santiago,PR
1086,Andy Rivera,CO
1087,Kaleth Morales,CO
1088,J Alvarez,PR
1089,Jhonny Rivera,CO
1090,KEVIN ROLDAN,CO
1091,Sky Rompiendo,CO
1092,Zion & Lennox,PR
1093,Pipe Bueno,CO
1094,Los Tigres Del Norte,MX
1095,Dalmata,PR
1096,Miguel Morales,CO
1097,Los Gigantes Del Vallenato,CO
1098,J Abdiel,PR
1099,Zaider,CO
1100,Héctor Lavoe,PR
1101,Tego Calderón,PR
1102,Joe Arroyo,CO
1103,Bomba Estéreo,CO
1104,Heredero,CO
1105,Mike Bahía,CO
1106,Jorge Celedón,CO
1107,Gilberto Santa Rosa,PR
1108,Peter Manjarrés,CO
1109,La Combinación Vallenata,CO
1110,Sahir,PR
1111,Binomio de Oro,CO
1112,Reykon,CO
1113,Alexis y Fido,PR
1114,BARBEL,PA
1115,Julión Álvarez y su Norteño Banda,MX
1116,Vybz Kartel,JM
1117,Toledo,PA
1118,Blaiz Fayah,FR
1119,Boza,PA
1120,Los Auténticos Decadentes,AR
1121,Kybba,NL
1122,Joan Sebastian,MX
1123,Ana Gabriel,MX
1124,Rvssian,JM
